country_id,code,name,status
52,MBA,Mbahiakro,1
52,ODI,Odienne,1
52,OUM,Oume,1
52,SAK,Sakassou,1
52,SPE,San-Pedro,1
52,SAS,Sassandra,1
52,SEG,Seguela,1
52,SIN,Sinfra,1
52,SOU,Soubre,1
52,TAB,Tabou,1
52,TAN,Tanda,1
52,TIE,Tiebissou,1
52,TIN,Tingrela,1
52,TIA,Tiassale,1
52,TBA,Touba,1
52,TLP,Toulepleu,1
52,TMD,Toumodi,1
52,VAV,Vavoua,1
52,YAM,Yamoussoukro,1
52,ZUE,Zuenoula,1
53,BB,Bjelovarsko-bilogorska,1
53,GZ,GradZagreb,1
53,DN,Dubrovačko-neretvanska,1
53,IS,Istarska,1
53,KA,Karlovačka,1
53,KK,Koprivničko-križevačka,1
53,KZ,Krapinsko-zagorska,1
53,LS,Ličko-senjska,1
53,ME,Međimurska,1
53,OB,Osječko-baranjska,1
53,PS,Požeško-slavonska,1
53,PG,Primorsko-goranska,1
53,SK,Šibensko-kninska,1
53,SM,Sisačko-moslavačka,1
53,BP,Brodsko-posavska,1
53,SD,Splitsko-dalmatinska,1
53,VA,Varaždinska,1
53,VP,Virovitičko-podravska,1
53,VS,Vukovarsko-srijemska,1
53,ZA,Zadarska,1
53,ZG,Zagrebačka,1
54,CA,Camaguey,1
54,CD,CiegodeAvila,1
54,CI,Cienfuegos,1
54,CH,CiudaddeLaHabana,1
54,GR,Granma,1
54,GU,Guantanamo,1
54,HO,Holguin,1
54,IJ,IsladelaJuventud,1
54,LH,LaHabana,1
54,LT,LasTunas,1
54,MA,Matanzas,1
54,PR,PinardelRio,1
54,SS,SanctiSpiritus,1
54,SC,SantiagodeCuba,1
54,VC,VillaClara,1
55,F,Famagusta,1
55,K,Kyrenia,1
55,A,Larnaca,1
55,I,Limassol,1
55,N,Nicosia,1
55,P,Paphos,1
56,U,Ústecký,1
56,C,Jihočeský,1
56,B,Jihomoravský,1
56,K,Karlovarský,1
56,H,Královehradecký,1
56,L,Liberecký,1
56,T,Moravskoslezský,1
56,M,Olomoucký,1
56,E,Pardubický,1
56,P,Plzeňský,1
56,A,Praha,1
56,S,Středočeský,1
56,J,Vysočina,1
56,Z,Zlínský,1
57,AR,Arhus,1
57,BH,Bornholm,1
57,CO,Copenhagen,1
57,FO,FaroeIslands,1
57,FR,Frederiksborg,1
57,FY,Fyn,1
57,KO,Kobenhavn,1
57,NO,Nordjylland,1
57,RI,Ribe,1
57,RK,Ringkobing,1
57,RO,Roskilde,1
57,SO,Sonderjylland,1
57,ST,Storstrom,1
57,VK,Vejle,1
57,VJ,Vestj&aelig;lland,1
57,VB,Viborg,1
58,S,AliSabih,1
58,K,Dikhil,1
58,J,Djibouti,1
58,O,Obock,1
58,T,Tadjoura,1
59,AND,SaintAndrewParish,1
59,DAV,SaintDavidParish,1
59,GEO,SaintGeorgeParish,1
59,JOH,SaintJohnParish,1
59,JOS,SaintJosephParish,1
59,LUK,SaintLukeParish,1
59,MAR,SaintMarkParish,1
59,PAT,SaintPatrickParish,1
59,PAU,SaintPaulParish,1
59,PET,SaintPeterParish,1
60,DN,DistritoNacional,1
60,AZ,Azua,1
60,BC,Baoruco,1
60,BH,Barahona,1
60,DJ,Dajabon,1
60,DU,Duarte,1
60,EL,EliasPina,1
60,SY,ElSeybo,1
60,ET,Espaillat,1
60,HM,HatoMayor,1
60,IN,Independencia,1
60,AL,LaAltagracia,1
60,RO,LaRomana,1
60,VE,LaVega,1
60,MT,MariaTrinidadSanchez,1
60,MN,MonsenorNouel,1
60,MC,MonteCristi,1
60,MP,MontePlata,1
60,PD,Pedernales,1
60,PR,PeraviaBani),1
60,PP,PuertoPlata,1
60,SL,Salcedo,1
60,SM,Samana,1
60,SH,SanchezRamirez,1
60,SC,SanCristobal,1
60,JO,SanJosedeOcoa,1
60,SJ,SanJuan,1
60,PM,SanPedrodeMacoris,1
60,SA,Santiago,1
60,ST,SantiagoRodriguez,1
60,SD,SantoDomingo,1
60,VA,Valverde,1
61,AL,Aileu,1
61,AN,Ainaro,1
61,BA,Baucau,1
61,BO,Bobonaro,1
61,CO,CovaLima,1
61,DI,Dili,1
61,ER,Ermera,1
61,LA,Lautem,1
61,LI,Liquica,1
61,MT,Manatuto,1
61,MF,Manufahi,1
61,OE,Oecussi,1
61,VI,Viqueque,1
62,AZU,Azuay,1
62,BOL,Bolivar,1
62,CAN,Ca&ntilde;ar,1
62,CAR,Carchi,1
62,CHI,Chimborazo,1
62,COT,Cotopaxi,1
62,EOR,ElOro,1
62,ESM,Esmeraldas,1
62,GPS,Gal&aacute;pagos,1
62,GUA,Guayas,1
62,IMB,Imbabura,1
62,LOJ,Loja,1
62,LRO,LosRios,1
62,MAN,Manab&iacute;,1
62,MSA,MoronaSantiago,1
62,NAP,Napo,1
62,ORE,Orellana,1
62,PAS,Pastaza,1
62,PIC,Pichincha,1
